Date,Province Old,Suspected Cases Last Date,Suspected Cases Last 24 Hrs,Suspected Cases Cumulative,Lab Tests Last 24 Hrs,Lab Tests Cumulative,Confirmed Cases Last Date,Confirmed Cases Last 24 Hrs,Confirmed Cases Cumulative, Deaths Last Date, Deaths Last 24 Hrs, Deaths Cumulative, Deaths Ventilator Last 24 Hrs,Transmission Total,Transmission Foreign - Iran,Transmission Foreign - Iran %,Transmission Foreign - Other,Transmission Foreign - Other %,Transmission Local - Tableegh,Transmission Local % - Tableegh,Transmission Local - Others,Transmission Local % - Others,Transmission Local,Transmission Local %,Total Hospitals,Beds for COVID,Total Admitted,Admitted Stable,Admitted Critical,Admitted Venilator,Home Quarantine,Recovered,Death,Quarantine Facilities,Last 24 Hrs Arrival,Last 24 Hrs (Location),Last 24 Hrs Departure,Cumulative Quarantined,Number of Tests,Results Achieved,Test Positive Cases,Test Positive Cases %,Confirmed HW - Active Doctors,Confirmed HW - Active Nurses,Confirmed HW - Active Others,Confirmed HW - Active Total,Confirmed HW - Active Isolation,Confirmed HW - Active Hospital,Confirmed HW - Active Hospital Stable,Confirmed HW - Active Hospital Ventilator,Confirmed HW - Active Recovered,Confirmed HW - Active Deaths,Test
4/4/2020,AJK,322,21,343,21,343,9,2,11,0,0,0,0,11,1,0.09,2,0.18,0,0,0,0,8,0.73,14,262,11,11,0,0,0,0,0,57,10,0,61,192,107,102,5,0.05,0,0,0,0,0,0,0,0,0,0,
4/4/2020,Balochistan,2171,230,2401,0,2401,169,6,175,1,0,1,0,175,139,0.79,2,0.01,0,0,0,0,34,0.19,74,1699,132,132,0,0,25,17,1,68,17,0,0,273,230,230,6,0.03,0,0,0,0,0,0,0,0,0,0,
4/4/2020,GB,961,2,963,844,860,190,3,193,3,0,3,0,193,155,0.8,5,0.03,0,0,0,0,33,0.17,26,151,12,12,0,0,169,9,3,47,0,0,232,274,963,860,193,0.23,0,0,0,0,0,0,0,0,0,0,
4/4/2020,ICT,2395,174,2569,174,2569,68,7,75,0,0,0,0,75,0,0,17,0.23,0,0,0,0,58,0.77,2,40,14,12,2,0,58,3,0,6,213,0,0,243,213,27,2,0.07,0,0,0,0,0,0,0,0,0,0,
4/4/2020,KP,1938,431,2369,181,1624,311,32,343,9,2,11,0,343,69,0.2,163,0.48,0,0,0,0,111,0.32,141,3046,92,87,5,0,210,30,11,102,113,0,140,3306,1640,1011,293,0.29,0,0,0,0,0,0,0,0,0,0,
4/4/2020,Punjab,5122,334,5456,1087,16508,920,152,1072,11,0,11,0,1072,309,0.29,472,0.44,0,0,0,0,291,0.27,147,1592,506,505,1,0,549,6,11,33,1298,0,0,4254,3672,2606,560,0.21,0,0,0,0,0,0,0,0,0,0,
4/4/2020,Sindh,7504,1121,8625,1121,8625,783,56,839,11,3,14,0,839,280,0.33,64,0.08,0,0,0,0,495,0.59,45,505,391,386,5,0,369,65,14,5,0,0,0,1363,1388,1388,280,0.2,0,0,0,0,0,0,0,0,0,0,
4/5/2020,AJK,343,42,385,42,385,11,1,12,0,0,0,0,12,1,0.08,2,0.17,0,0,0,0,9,0.75,14,262,11,11,0,0,0,1,0,57,25,0,92,170,119,102,5,0.05,0,0,0,0,0,0,0,0,0,0,
4/5/2020,Balochistan,2381,132,2513,132,2513,175,10,185,1,0,1,0,185,139,0.75,2,0.01,0,0,0,0,44,0.24,87,1699,133,133,0,0,34,17,1,68,8,0,90,335,2513,2513,185,0.07,0,0,0,0,0,0,0,0,0,0,
4/5/2020,GB,963,95,1058,116,975,193,13,206,3,0,3,0,206,161,0.78,10,0.05,0,0,0,0,35,0.17,26,151,12,12,0,0,182,9,3,47,0,0,0,274,1058,975,206,0.21,0,0,0,0,0,0,0,0,0,0,
